구분번호,발생년월,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2023082700100403,2023년 8월,일요일,부산광역시 부산진구 양정동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,31-40세,상해없음,원동기,남,21-30세,경상
2023082800100026,2023년 8월,월요일,부산광역시 부산진구 부전동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,65세 이상,상해없음,승용,남,65세 이상,경상
2023082800100089,2023년 8월,월요일,부산광역시 북구 화명동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,화물,남,61-64세,상해없음,승용,남,31-40세,경상
2023082800100090,2023년 8월,월요일,부산광역시 동래구 온천동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,승용,남,51-60세,상해없음,승용,여,41-50세,경상
2023082800100148,2023년 8월,월요일,부산광역시 수영구 광안동,중상사고,0,1,0,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,21-30세,상해없음,자전거,남,41-50세,중상
2023082800100149,2023년 8월,월요일,부산광역시 동래구 온천동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,화물,남,41-50세,상해없음,보행자,남,65세 이상,경상
2023082800100150,2023년 8월,월요일,부산광역시 사하구 신평동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,승용,남,41-50세,경상
2023082800100151,2023년 8월,월요일,부산광역시 연제구 연산동,부상신고사고,0,0,0,1,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,51-60세,상해없음,보행자,여,21-30세,부상신고
2023082800100252,2023년 8월,월요일,부산광역시 서구 암남동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,기타 - 기타,승용,여,51-60세,상해없음,보행자,여,41-50세,경상
2023082800100253,2023년 8월,월요일,부산광역시 부산진구 범천동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,보행자,남,61-64세,경상
